index,method
0,Radial Velocity
1,Radial Velocity
2,Radial Velocity
3,others
4,Radial Velocity
5,others
6,others
7,others
8,Radial Velocity
9,others
10,others
11,Radial Velocity
12,Radial Velocity
13,Radial Velocity
14,Radial Velocity
15,Radial Velocity
16,Radial Velocity
17,others
18,others
19,Radial Velocity
20,others
21,others
22,Radial Velocity
23,Radial Velocity
24,Radial Velocity
25,Radial Velocity
26,Radial Velocity
27,Radial Velocity
28,Radial Velocity
29,others
30,others
31,others
32,Radial Velocity
33,Radial Velocity
34,Radial Velocity
35,Radial Velocity
36,Radial Velocity
37,Radial Velocity
38,Radial Velocity
39,Radial Velocity
40,Radial Velocity
41,Radial Velocity
42,Radial Velocity
43,Radial Velocity
44,Radial Velocity
45,Radial Velocity
46,others
47,others
48,others
49,others
50,Radial Velocity
51,others
52,Radial Velocity
53,Radial Velocity
54,Radial Velocity
55,Radial Velocity
56,others
57,Radial Velocity
58,Radial Velocity
59,others
60,Radial Velocity
61,Radial Velocity
62,Radial Velocity
63,Radial Velocity
64,Radial Velocity
65,Radial Velocity
66,Radial Velocity
67,Radial Velocity
68,Radial Velocity
69,others
70,Radial Velocity
71,Radial Velocity
72,Radial Velocity
73,others
74,Radial Velocity
75,others
76,Radial Velocity
77,Radial Velocity
78,others
79,others
80,Radial Velocity
81,Radial Velocity
82,Radial Velocity
83,Radial Velocity
84,Radial Velocity
85,Radial Velocity
86,Radial Velocity
87,Radial Velocity
88,others
89,Radial Velocity
90,Radial Velocity
91,Radial Velocity
92,Radial Velocity
93,others
94,others
95,others
96,Radial Velocity
97,Radial Velocity
98,Radial Velocity
99,Radial Velocity
100,Radial Velocity
101,others
102,others
103,Radial Velocity
104,others
105,Radial Velocity
106,Radial Velocity
107,Radial Velocity
108,Radial Velocity
109,Radial Velocity
110,Radial Velocity
111,Radial Velocity
112,Radial Velocity
113,Radial Velocity
114,Radial Velocity
115,others
116,Radial Velocity
117,others
118,others
119,others
120,others
121,Radial Velocity
122,Radial Velocity
123,Radial Velocity
124,others
125,others
126,Radial Velocity
127,Radial Velocity
128,Radial Velocity
129,Radial Velocity
130,Radial Velocity
131,Radial Velocity
132,others
133,Radial Velocity
134,Radial Velocity
135,others
136,Radial Velocity
137,Radial Velocity
138,others
139,Radial Velocity
140,Radial Velocity
141,Radial Velocity
142,Radial Velocity
143,Radial Velocity
144,Radial Velocity
145,others
146,Radial Velocity
147,Radial Velocity
148,others
149,others
150,Radial Velocity
151,others
152,Radial Velocity
153,Radial Velocity
154,others
155,Radial Velocity
156,Radial Velocity
157,Radial Velocity
158,others
159,others
160,Radial Velocity
161,Radial Velocity
162,Radial Velocity
163,Radial Velocity
164,others
165,Radial Velocity
166,Radial Velocity
167,Radial Velocity
168,Radial Velocity
169,others
170,others
171,others
172,others
173,Radial Velocity
174,Radial Velocity
175,others
176,Radial Velocity
177,others
178,Radial Velocity
179,others
180,others
181,Radial Velocity
182,others
183,Radial Velocity
184,Radial Velocity
185,others
186,Radial Velocity
187,Radial Velocity
188,Radial Velocity
189,Radial Velocity
190,Radial Velocity
191,others
192,Radial Velocity
193,Radial Velocity
194,Radial Velocity
195,Radial Velocity
196,Radial Velocity
197,Radial Velocity
198,Radial Velocity
199,others
200,Radial Velocity
201,Radial Velocity
202,Radial Velocity
203,others
204,Radial Velocity
205,Radial Velocity
206,Radial Velocity
207,Radial Velocity
208,Radial Velocity
209,Radial Velocity
210,others
211,Radial Velocity
212,Radial Velocity
213,others
214,others
215,others
216,Radial Velocity
217,Radial Velocity
218,Radial Velocity
219,Radial Velocity
220,Radial Velocity
221,Radial Velocity
222,Radial Velocity
223,Radial Velocity
224,others
225,Radial Velocity
226,others
227,others
228,Radial Velocity
229,others
230,others
231,others
232,others
233,Radial Velocity
234,others
235,others
236,Radial Velocity
237,Radial Velocity
238,Radial Velocity
239,Radial Velocity
240,others
241,Radial Velocity
242,others
243,Radial Velocity
244,Radial Velocity
245,Radial Velocity
246,others
247,Radial Velocity
248,Radial Velocity
249,Radial Velocity
250,others
251,Radial Velocity
252,others
253,Radial Velocity
254,Radial Velocity
255,others
256,Radial Velocity
257,Radial Velocity
258,Radial Velocity
259,others
260,Radial Velocity
261,Radial Velocity
262,Radial Velocity
263,Radial Velocity
264,Radial Velocity
265,others
266,others
267,others
268,others
269,others
270,others
271,Radial Velocity
272,Radial Velocity
273,others
274,Radial Velocity
275,Radial Velocity
276,Radial Velocity
277,Radial Velocity
278,Radial Velocity
279,Radial Velocity
280,Radial Velocity
281,Radial Velocity
282,others
283,Radial Velocity
284,Radial Velocity
