index,method,number,orbital_period,mass,distance,year
0,Radial Velocity,4,241.258,1.981,13.47,1999
1,Transit,1,1.3371182,,,2011
2,Transit,1,1.5732918,,350.0,2012
3,Radial Velocity,2,3000.0,,,2014
4,Radial Velocity,1,9.494,0.026,21.3,2010
5,Radial Velocity,1,373.3,2.3,121.8,2009
6,Radial Velocity,3,6.673855,3.88,52.88,2005
7,others,2,22.3395,,339.0,2013
8,Radial Velocity,6,197.8,0.0223,12.83,2012
9,Radial Velocity,1,356.0,2.3,131.41,2009
10,Radial Velocity,2,391.9,0.82,43.4,2007
11,Radial Velocity,2,8.1256,0.0284,26.21,2011
12,Radial Velocity,2,352.3,0.73,52.72,2012
13,Radial Velocity,2,7.2825,0.0087,21.52,2011
14,Transit,2,10.338523,,90.0,2010
15,others,1,318280.0,,7.69,2008
16,Radial Velocity,1,10.7085,1.04,29.76,1999
17,Radial Velocity,1,1313.0,0.63,56.34,2010
18,Transit,1,8.884924,,1140.0,2013
19,Transit,2,44.347,,,2013
20,Transit,2,17.2513,,,2011
21,Transit,2,8.291,,,2013
22,Radial Velocity,3,431.7,0.527,25.87,2011
23,others,1,,,7720.0,2012
24,Transit,5,27.4536,,,2014
25,Transit,1,3.21222,,82.0,2010
26,Radial Velocity,2,13.505,0.0186,23.44,2011
27,Radial Velocity,1,963.0,2.54,43.03,2004
28,others,1,,,36.0,2013
29,Radial Velocity,1,956.0,0.37,55.93,2009
30,Radial Velocity,1,598.3,0.328,10.32,2009
31,Transit,6,118.3807,,613.0,2010
32,Radial Velocity,1,351.5,2.5,67.39,2007
33,Transit,1,16.2385,,,2014
34,Radial Velocity,1,1800.0,1.15,96.99,2008
35,Radial Velocity,1,39.845,1.04,17.43,1997
36,Radial Velocity,1,4.6455,0.013,24.05,2010
37,Radial Velocity,1,111.4357,,29.04,2001
38,Radial Velocity,2,3452.0,2.58,68.54,2014
39,Radial Velocity,1,1035.7,0.79,32.83,2011
40,Radial Velocity,1,7.3709,0.018,9.04,2011
41,Radial Velocity,1,3724.7,1.45,48.43,2011
42,Transit,2,13.2907,,1400.0,2011
43,Radial Velocity,1,2157.0,1.78,30.88,2009
44,Radial Velocity,1,354.8,,55.93,2007
45,Transit,1,5.6334729,,135.32,2007
46,Transit,2,11.6092567,,,2012
47,Transit,2,51.538,,,2012
48,others,2,1916.25,,,2011
49,Transit,2,10.3376,,1400.0,2011
50,Transit,1,3.9791,,,2007
51,Radial Velocity,2,1155.7,,55.31,2012
52,Radial Velocity,1,5.118,0.4,,2014
53,Transit,1,3.039577,,204.0,2011
54,Transit,1,4.0161,,,2004
55,Radial Velocity,2,520.0,2.6,164.2,2008
56,Radial Velocity,1,163.9,5.02,65.79,2008
57,Transit,1,4.411953,,160.0,2012
58,Radial Velocity,1,396.03,,131.75,2010
59,Radial Velocity,3,3008.0,7.2,52.83,2009
60,Transit,1,3.1260876,,,2011
61,Transit,1,5.01718,,300.0,2012
62,Transit,2,31.884,,,2013
63,Radial Velocity,2,9017.8,,44.8,2011
64,Radial Velocity,1,714.3,10.6,,2007
65,Transit,1,3.474474,,387.0,2011
66,Transit,3,39.792187,,66.0,2013
67,Radial Velocity,2,7.8543,0.054,56.92,2013
68,Radial Velocity,1,1075.2,6.21,32.56,1999
69,Radial Velocity,1,594.9,7.6,47.53,2006
70,Transit,1,10.863502,,190.0,2010
71,Radial Velocity,2,1945.0,0.622,33.98,2005
72,Radial Velocity,1,6.276,1.9,58.82,2001
73,Radial Velocity,1,851.8,6.1,,2007
74,Radial Velocity,1,141.6,1.08,108.46,2007
75,Transit,1,1.33823187,,300.0,2007
76,Radial Velocity,1,1038.1,1.9,54.23,2007
77,Radial Velocity,1,442.1,1.23,21.29,1998
78,Radial Velocity,2,4046.0,2.0,38.52,2011
79,Radial Velocity,3,962.0,0.64,26.15,2008
80,Radial Velocity,1,672.1,11.1,289.02,2012
81,Transit,1,7.8457,,222.0,2014
82,Radial Velocity,1,387.1,1.7,168.92,2011
83,Radial Velocity,2,220.078,,27.46,2003
84,Radial Velocity,1,705.0,1.3,112.23,2011
85,Radial Velocity,1,2.391,15.5,76.51,2009
86,Radial Velocity,1,1001.7,6.86,32.56,2005
87,Radial Velocity,1,528.4,1.21,12.87,2003
88,Radial Velocity,1,738.459,2.61,34.6,2001
89,Transit,1,4.61442,,225.0,2012
90,Transit,2,13.749,,,2013
91,Transit,2,54.414,,,2013
92,Transit,1,9.24285,,1230.0,2011
93,Transit,2,13.83989,,470.0,2012
94,Radial Velocity,1,1183.0,4.9,89.85,2002
95,Radial Velocity,2,2720.0,3.366,42.88,2012
96,Radial Velocity,2,572.4,1.26,35.59,2003
97,Radial Velocity,4,12.9292,0.017,6.27,2005
98,Radial Velocity,1,1475.0,7.0,72.57,2009
99,Transit,2,10.416,,,2013
100,Transit,1,2.7033904,1.47,178.0,2013
101,Transit,1,4.1250828,,293.0,2008
