,method,orbital_period,mass,distance,year
0,1,1.3371182,6.146593392373177,290.0,2011
1,1,1.5732918,7.208092774172826,350.0,2012
2,0,3000.0,7.340681052887874,290.0,2014
3,2,22.3395,5.46483675848674,339.0,2013
4,1,10.338523,1.7496899767625678,90.0,2010
5,2,318280.0,137.32979218538367,7.69,2008
6,1,8.884924,22.915388562721944,1140.0,2013
7,1,44.347,5.349721925415622,290.0,2013
8,1,17.2513,5.6222666742431215,290.0,2011
9,1,8.291,5.3341704903710365,290.0,2013
10,2,8.13123,154.1842045721188,7720.0,2012
11,1,27.4536,3.6067476799570954,290.0,2014
12,1,3.21222,2.1173385898509878,82.0,2010
13,2,8.13123,-0.08784270525552529,36.0,2013
14,1,118.3807,10.16215106122371,613.0,2010
15,1,16.2385,5.726673327688957,290.0,2014
16,0,111.4357,3.239019676779094,29.04,2001
17,1,13.2907,27.88555372979522,1400.0,2011
18,0,354.8,3.030666020570891,55.93,2007
19,1,5.6334729,3.6142522558775454,135.32,2007
20,1,11.6092567,5.477717442186645,290.0,2012
21,1,51.538,5.494939243213935,290.0,2012
22,2,1916.25,5.583068012026956,290.0,2011
23,1,10.3376,27.884280018267873,1400.0,2011
24,1,3.9791,6.7161958877379675,290.0,2007
25,0,1155.7,2.121899164631202,55.31,2012
26,1,3.039577,4.4222920125461656,204.0,2011
27,1,4.0161,7.142559076291548,290.0,2004
28,1,4.411953,3.398191802473832,160.0,2012
29,0,396.03,4.14294143097402,131.75,2010
30,1,3.1260876,6.1473649988026295,290.0,2011
31,1,5.01718,6.206650452309475,300.0,2012
32,1,31.884,5.344346466824504,290.0,2013
33,0,9017.8,5.444228386471593,44.8,2011
34,1,3.474474,8.093195033313464,387.0,2011
35,1,39.792187,0.3234504843208583,66.0,2013
36,1,10.863502,4.286962558628659,190.0,2010
37,1,1.33823187,6.915642389373318,300.0,2007
38,1,7.8457,4.359071705804638,222.0,2014
39,0,220.078,2.4387638337624367,27.46,2003
40,1,4.61442,4.702085161176171,225.0,2012
41,1,13.749,5.3365245987711205,290.0,2013
42,1,54.414,5.354063957160463,290.0,2013
43,1,9.24285,25.005044318062232,1230.0,2011
44,1,13.83989,9.089219325023578,470.0,2012
45,1,10.416,5.335087031292687,290.0,2013
46,1,4.1250828,6.634318771766914,293.0,2008
47,1,2.797436,8.57430832188345,411.0,2011
48,2,8.13123,1.0042514865213548,40.85,2006
49,1,34.921,5.345656365544016,290.0,2013
50,1,3.161575,6.147380304992907,290.0,2011
51,1,0.853585,3.0912279997496626,150.0,2009
52,1,15.5741568,5.479427556629844,290.0,2012
53,2,8.13123,6.286071786501168,290.0,2004
54,1,42.6318,41.93919697533738,2100.0,2011
55,1,5.452654,5.486436184850788,257.0,2011
56,1,12.3335,23.873430009010292,1200.0,2011
57,2,8.13123,-0.1405949314966506,19.2,2011
58,1,16.092,5.1954194226889285,290.0,2014
59,1,12.883,5.478266824708101,290.0,2012
60,1,12.04,5.477903227533091,290.0,2012
61,1,1.217514,5.4427865406953515,262.0,2012
62,1,4.954658,3.5657177649149503,140.0,2008
63,1,22.951,5.340493544446758,290.0,2013
64,1,210.60697,12.594170111905044,780.0,2013
65,1,2.34121242,6.2891422149594405,290.0,2010
66,2,37000.0,15.06328232482997,39.94,2008
67,1,3.852985,6.134443416846409,261.0,2007
68,1,105.599,12.267599037978528,600.0,2012
69,1,7.07142,3.5979565731139473,290.0,2014
70,1,3.4059096,7.693700236761231,360.0,2010
71,1,4.4652934,3.8296796277188037,139.0,2006
72,1,3.52254,27.15054824898158,1330.0,2010
73,2,8.13123,5.433377326583752,290.0,2010
74,1,3.5327313,6.490241676369919,300.0,2010
75,1,9.605085,1.8365863761288779,135.0,2012
76,1,1.51214,27.350266679953847,1340.0,2010
77,1,1.54168,5.72033439265482,290.0,2014
78,1,35.3331,4.6725276488756435,290.0,2014
79,0,3.48777,4.356759963169679,80.0,2000
80,1,7.919585,2.6976552892356267,125.0,2012
81,2,8.13123,1.52015927576565,52.4,2004
82,2,8.13123,5.71760881322291,290.0,2008
83,1,3.764825,6.289756238105838,290.0,2010
84,1,4.1591399,4.200424934326918,200.0,2012
85,1,1.865169,0.04372500739697216,38.7,2011
86,1,35.736,5.346007885944516,290.0,2013
87,1,143.34394,27.268340970743054,1400.0,2012
88,1,43.8445,4.145008011943958,290.0,2014
89,1,7.8773565,5.4761078237166885,290.0,2012
90,1,3.6961219,4.02284799185793,290.0,2011
91,1,91.93913,12.542987085345374,780.0,2013
92,1,60.323105,27.23253297421411,1400.0,2012
93,1,131.458,33.382057397186315,1645.0,2011
94,1,13.722341,5.33651310038789,290.0,2013
95,1,4.008778,4.785469882939196,215.0,2010
96,1,2.152226,3.8470346621974727,147.0,2007
97,1,3.54846,6.431778660307089,290.0,2009
98,1,3.1606296,24.116432858272276,1200.0,2013
99,1,1.7429935,4.767845791347213,200.0,2008
100,1,1.3600309,2.0529523269995025,93.0,2012
101,1,8.306,5.476292703391266,290.0,2012
102,2,57.011,15.972120821949318,855.0,2012
103,0,578.2,7.111548525842352,290.0,2012
104,1,1.7497798,2.995872484804181,140.0,2012
105,1,3.352057,64.37573984301434,3200.0,2012
106,1,3.577469,7.352778808877133,343.0,2010
107,1,2.15491,4.942448938413634,290.0,2012
108,1,21.2227,5.197632362221384,290.0,2014
109,1,2.875317,1.8764906270237134,70.0,2010
110,1,1.091423,6.572834650706,290.0,2008
111,1,3.361006,6.431697808889737,290.0,2009
112,1,6.24658,20.70780963247489,1030.0,2013
113,1,1.2198669,2.8012783064146447,116.14,2010
114,1,124.9144,12.557209760336548,780.0,2013
115,1,6.871815,2.6805565435882386,110.0,2010
116,1,289.8623,4.2651827284609,190.0,2011
117,1,6.098493,4.023884166644734,290.0,2011
118,1,4.641878,9.155096067239754,447.0,2012
119,1,3.67724,6.71606569148264,290.0,2007
120,1,2.455239,7.009593489367774,333.0,2011
121,1,2.150008,6.006534122249434,283.0,2011
122,1,4.617101,5.3038429476707165,255.0,2012
123,1,6.790123,19.989347839574123,980.0,2011
